OrganizationId, recordID, imageKey, imageURL
63, 56, product, https://image.shutterstock.com/image-illustration/seamless-pattern-colorful-wild-flowers-260nw-1127444183.jpg
55, 38, product, https://image.shutterstock.com/image-illustration/seamless-pattern-colorful-wild-flowers-450w-1127444183.jpg
34, 36, product, https://image.shutterstock.com/image-vector/floral-composition-exotic-tropical-birds-450w-237737104.jpg
79, 19, render, https://image.shutterstock.com/image-vector/vacation-travel-beach-umbrella-chair-260nw-638969380.jpg
59, 60, render, https://image.shutterstock.com/image-vector/decline-on-beach-palm-trees-260nw-666391846.jpg
94, 59, render, https://image.shutterstock.com/image-vector/coconut-tree-palm-icon-seamless-260nw-684256423.jpg
94, 59, witherror, /image-vector/coconut-tree-palm-icon-seamless-260nw-684256423.jpg
94, 59, witherror, https://image.shutterstock.com/image-vector/not-existing-image.jpg
60, 48, scan, https://image.shutterstock.com/image-vector/hawaiian-seamless-pattern-tropical-fruits-260nw-461409427.jpg
82, 56, scan, https://image.shutterstock.com/image-vector/summer-seamless-pattern-designpalm-treesunglasses-260nw-1132022192.jpg
74, 85, scan, https://image.shutterstock.com/image-vector/exotic-beach-trendy-seamless-pattern-260nw-303824981.jpg

